id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
145,Coop,Gentle,cgentle40@deliciousdays.com,223.25.202.25,#c085da,WAUUL78E16A944097,Lincoln,MKT,2011,6444.46,Denmark,København,2020-04-14
270,Daphene,Bridge,dbridge7h@hhs.gov,66.13.144.195,#08d512,YV1672MK8D2251270,Lincoln,Town Car,1990,96472.28,Czech Republic,Bavorov,2020-03-27
278,Gloriane,Schonfelder,gschonfelder7p@shinystat.com,46.88.108.64,#0e97fa,JTJHY7AX3F4021021,Lincoln,Navigator,2007,90568.26,Poland,Spytkowice,2020-11-29
479,Shurwood,Garland,sgarlandda@printfriendly.com,200.62.13.233,#621956,1GKMCAE37AR373541,Lincoln,Navigator L,2007,48521.65,Czech Republic,Kladruby,2020-11-22
525,Juliann,Moncarr,jmoncarrek@wisc.edu,180.95.43.166,#22225b,WAU4FAFRXCA959042,Lincoln,Blackwood,2002,31306.78,Poland,Janikowo,2020-09-05
717,Tiebout,Hadenton,thadentonjw@plala.or.jp,82.188.213.139,#c2bf43,KM8JT3AB0CU252997,Lincoln,Navigator,2008,1229.56,Germany,Berlin,2020-11-26
718,Kellina,Hanalan,khanalanjx@npr.org,86.94.25.150,#b36c62,WBA3A5C54DJ985706,Lincoln,Navigator,2006,14405.46,Poland,Zabierzów,2020-09-14
813,Sarette,Lissenden,slissendenmk@stumbleupon.com,226.227.121.33,#86312e,5TDBKRFH1ES664560,Lincoln,Mark VIII,1998,53874.79,Denmark,Frederiksberg,2020-07-02
839,Ode,Sackett,osackettna@abc.net.au,69.217.46.81,#55c009,WA1CMAFP1EA573111,Lincoln,Town Car,1993,74697.14,Poland,Hyżne,2020-12-26
942,Brandon,Sclanders,bsclandersq5@usda.gov,70.89.156.230,#64bf1a,WBAVC93558K375551,Lincoln,Continental,1989,66092.79,Germany,München,2020-06-07
996,Quent,Lillgard,qlillgardrn@samsung.com,144.218.189.171,#9b9ca3,WBAPH7G51BN565510,Lincoln,MKT,2010,60519.09,Poland,Zator,2020-12-16
