id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
22,Freddie,Shutle,fshutlel@cnbc.com,165.47.157.209,#f6e9c0,WAUXD68D62A671941,Isuzu,Rodeo,2002,61428.99,Czech Republic,Zábřeh,2020-11-24
154,Etta,Ruggs,eruggs49@vkontakte.ru,4.6.154.104,#5560ec,WA1WGAFPXEA898389,Isuzu,Stylus,1992,3457.00,Poland,Łaskarzew,2020-07-08
300,Etty,Clay,eclay8b@guardian.co.uk,167.188.45.254,#43a66e,WDDHF2EB4DA998120,Isuzu,Trooper,2000,53274.70,Czech Republic,Hřebeč,2020-07-31
405,Junette,Maxsted,jmaxstedb8@fc2.com,229.131.255.191,#9658d5,VNKJTUD34FA807056,Isuzu,Rodeo,2000,91740.06,Poland,Nysa,2020-12-23
471,Robby,McLucky,rmcluckyd2@microsoft.com,192.171.23.164,#245ca6,WBAKE3C58CE231977,Isuzu,Trooper,2000,82195.68,Czech Republic,Seč,2020-03-11
481,Isabelita,Valentinuzzi,ivalentinuzzidc@thetimes.co.uk,137.241.119.28,#5fe01a,3D7LT2ET4BG923007,Isuzu,i-370,2007,18055.25,Poland,Nowa Sól,2020-04-01
640,Laurette,Kalkofen,lkalkofenhr@slate.com,112.215.127.83,#7bd339,YV140MAM2F1605922,Isuzu,Trooper,2000,22890.55,Poland,Golub-Dobrzyń,2020-05-20
702,Vincents,Matushevich,vmatushevichjh@yahoo.com,94.170.142.179,#69ae6a,WAUHGAFC6DN122809,Isuzu,Rodeo,2002,19340.99,Poland,Bełsznica,2020-04-03
784,Adiana,Zorzenoni,azorzenonilr@java.com,123.30.26.84,#2580c1,3FA6P0PU3ER633443,Isuzu,Amigo,2000,36303.51,Germany,Frankfurt am Main,2020-06-09
802,Kathrine,Kinnier,kkinnierm9@japanpost.jp,91.4.199.114,#c94d3a,5N1AN0NU7EN124743,Isuzu,Hombre Space,1997,14300.87,Poland,Osieczna,2020-07-21
812,Frances,Oxenden,foxendenmj@who.int,198.29.46.43,#49ef46,5J8TB18279A669328,Isuzu,Ascender,2007,3700.19,Denmark,København,2020-08-03
825,Puff,Cinavas,pcinavasmw@europa.eu,225.143.109.253,#aa4438,1G6EL12Y42B849158,Isuzu,Rodeo Sport,2002,59634.95,Germany,Leipzig,2020-09-21
