id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
5,Gabbi,Hafner,ghafner4@icio.us,8.198.1.190,#0d807c,WBAFU9C5XDD400069,Mazda,B-Series Plus,2004,71988.49,Poland,Gilowice,2020-12-26
8,Kean,Corday,kcorday7@stanford.edu,153.153.169.51,#9464f8,WAUDGAFL2CA998863,Mazda,MX-5,1994,25332.86,Czech Republic,Příbram,2020-01-23
40,Dori,Leroux,dleroux13@mysql.com,227.62.73.141,#035e85,JTHDU1EF6A5223784,Mazda,Mazdaspeed 3,2007,43416.68,Poland,Jonkowo,2020-11-14
58,Binky,Hendrickson,bhendrickson1l@flickr.com,89.4.101.35,#fc75a3,SAJWA4EB8EL899450,Mazda,CX-7,2010,74018.72,Poland,Płońsk,2020-02-02
120,Carter,Ayree,cayree3b@examiner.com,68.252.134.98,#2d3fe8,1G4HA5EM8BU593803,Mazda,Mazda2,2012,77296.02,Poland,Wojaszówka,2020-05-18
160,Brigit,Giannasi,bgiannasi4f@youtu.be,203.238.49.210,#2c4d52,1G4PR5SK9D4589754,Mazda,626,2001,34880.98,Czech Republic,Modřice,2020-03-05
190,Ludwig,Jovicic,ljovicic59@cbslocal.com,134.139.223.47,#c46eb4,KNAFZ6A35F5226233,Mazda,MX-5,2012,29357.94,Czech Republic,Chyňava,2020-06-15
213,Leoine,Sowman,lsowman5w@independent.co.uk,232.60.68.122,#feb9d8,WDDJK7DA5EF653122,Mazda,CX-7,2008,53087.83,Poland,Kraków,2020-01-10
229,Carey,Moland,cmoland6c@ucoz.ru,178.112.146.213,#26dbf1,JTDBT4K35CL411945,Mazda,Millenia,1999,22569.04,Poland,Sośno,2020-05-04
232,Harwell,Kenwin,hkenwin6f@baidu.com,226.119.8.33,#a050d3,WA1CGAFE0ED941315,Mazda,CX-5,2013,56757.95,Poland,Rokietnica,2020-04-02
271,Morse,Borg-Bartolo,mborgbartolo7i@webmd.com,51.39.204.103,#cc0528,1G6AM5SX7E0541153,Mazda,Millenia,1996,37991.48,Denmark,Frederiksberg,2020-09-23
284,Alyce,McGrae,amcgrae7v@mediafire.com,225.100.7.23,#157c71,WAUGFAFC4DN341041,Mazda,CX-7,2009,80814.80,Czech Republic,Lukavec,2020-03-05
297,Aurelea,Dumbarton,adumbarton88@ameblo.jp,242.229.200.222,#cd1c54,1G6DK8E35D0811587,Mazda,RX-7,1983,54789.33,Poland,Korczew,2020-12-24
334,Cart,Rozzier,crozzier99@samsung.com,143.85.71.187,#91192e,1FTEX1C82AF480997,Mazda,RX-7,1989,60821.10,Czech Republic,Grygov,2020-06-11
370,Rodie,Windress,rwindressa9@admin.ch,128.140.17.88,#dc372d,3N1BC1AP8BL565641,Mazda,B2000,1985,69924.62,Poland,Stoczek,2020-12-01
