id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
27,Carmen,Bowen,cbowenq@nationalgeographic.com,63.239.51.206,#3fb1cf,WAUGL98E25A270887,Mercedes-Benz,E-Class,2005,59050.98,Germany,Kassel,2020-03-14
47,Jarrid,Andreotti,jandreotti1a@acquirethisname.com,38.184.194.184,#0ba4ce,WAUDGAFL5DA732884,Mercedes-Benz,CLS-Class,2011,3183.57,Poland,Drawsko Pomorskie,2020-01-09
50,Sollie,Palatino,spalatino1d@linkedin.com,37.149.119.171,#a8deac,5GAEV23D39J957670,Mercedes-Benz,SLS AMG,2012,6369.83,Czech Republic,Znojmo,2020-10-03
59,Julieta,Havock,jhavock1m@sohu.com,104.226.28.113,#24f4f5,WBSDX9C54BE066526,Mercedes-Benz,SL-Class,1984,42147.27,Poland,Sanok,2020-03-24
69,Arley,Blouet,ablouet1w@npr.org,98.161.76.178,#7a8ce0,WBAEU334X4P114527,Mercedes-Benz,E-Class,1995,64393.66,Poland,Wojnicz,2020-01-03
85,Cosmo,McOnie,cmconie2c@oracle.com,155.69.105.106,#9f9316,JHMFB4F21CS468704,Mercedes-Benz,SL65 AMG,2006,12734.28,Czech Republic,Heřmanův Městec,2020-10-25
128,Brigida,Keen,bkeen3j@networksolutions.com,217.225.65.146,#e739e1,4T1BF3EKXBU205285,Mercedes-Benz,G-Class,2005,91226.32,Poland,Piaski,2020-11-07
134,Grace,Carr,gcarr3p@cam.ac.uk,87.222.37.8,#e5c96c,1C4AJWAG4DL069732,Mercedes-Benz,C-Class,2006,24707.10,Poland,Bałtów,2020-10-25
172,Bride,Empleton,bempleton4r@businessinsider.com,158.253.160.205,#7210c9,2C3CDXCT7CH704409,Mercedes-Benz,300D,1992,17810.02,Poland,Dąbrowice,2020-12-09
187,Ailey,Usborn,ausborn56@deliciousdays.com,147.164.79.146,#1b8856,1FTEW1E8XAF520680,Mercedes-Benz,M-Class,2002,98107.82,Poland,Kożuchów,2020-02-06
248,Karmen,Murrow,kmurrow6v@psu.edu,101.103.206.79,#4f8cbf,5UXFG2C51E0621889,Mercedes-Benz,C-Class,2006,32785.51,Poland,Regimin,2020-11-14
294,Starlin,Wayvill,swayvill85@uol.com.br,49.150.247.241,#7e919e,4JGDA0EB2FA562733,Mercedes-Benz,SLK-Class,2012,45019.57,Czech Republic,Oldřišov,2020-09-15
338,Jeniece,Towers,jtowers9d@t-online.de,33.140.164.241,#36937c,1G6AE5SX6D0613116,Mercedes-Benz,CLK-Class,2005,93260.59,Germany,Mainz,2020-02-13
341,Kathy,Lount,klount9g@sakura.ne.jp,71.81.245.90,#b5bdc8,WAUFFAFL0FA626387,Mercedes-Benz,E-Class,1993,42460.73,Czech Republic,Horka nad Moravou,2020-12-23
356,Kariotta,Gittens,kgittens9v@people.com.cn,1.240.115.76,#d3005a,4T3BA3BB4DU468000,Mercedes-Benz,R-Class,2011,69554.95,Poland,Stryków,2020-02-26
362,Maxie,Riccardini,mriccardinia1@alexa.com,238.58.249.186,#7da7af,1N6AA0CAXCN717418,Mercedes-Benz,W201,1985,93000.95,Czech Republic,Otaslavice,2020-02-09
371,Florella,Faivre,ffaivreaa@taobao.com,220.249.190.204,#8f4944,WBAAZ33475K024301,Mercedes-Benz,SL-Class,1999,16464.10,Germany,Hamburg,2020-02-14
425,Elfrieda,Poznan,epoznanbs@microsoft.com,65.53.105.127,#16c4ce,WAUEH94F46N957726,Mercedes-Benz,S-Class,2006,63444.94,Poland,Cielądz,2020-09-27
436,Loralee,Gammell,lgammellc3@canalblog.com,108.77.9.62,#bfc2d7,19VDE1F72DE536824,Mercedes-Benz,300E,1992,69282.52,Poland,Imielin,2020-07-29
480,Paulie,Allso,pallsodb@naver.com,11.169.68.80,#49e867,1GYS3CEF4ER538647,Mercedes-Benz,SLK-Class,2002,66904.75,Poland,Łapsze Niżne,2020-09-22
543,Daryle,Eul,deulf2@technorati.com,100.29.120.198,#1c2cb0,2D4RN3D18AR025963,Mercedes-Benz,R-Class,2008,40634.21,Poland,Pecna,2020-08-17
608,Niki,Ramshay,nramshaygv@buzzfeed.com,202.36.11.136,#2f46a1,JTMHY7AJ8E4324454,Mercedes-Benz,R-Class,2006,19967.40,Czech Republic,Sviadnov,2020-06-10
611,Don,Nuemann,dnuemanngy@rediff.com,208.98.91.86,#3c0bc2,1G4HP52KX4U461274,Mercedes-Benz,S-Class,2008,80139.84,Germany,Hamburg,2020-10-03
635,Helli,Atchly,hatchlyhm@hatena.ne.jp,132.170.78.198,#d965a1,2HNYD18293H884663,Mercedes-Benz,SLK-Class,2011,69094.53,Poland,Kabaty,2020-05-30
656,Clyve,Hart,charti7@rediff.com,2.166.229.34,#42cc46,TRURD28N461598920,Mercedes-Benz,SLR McLaren,2007,98123.27,Poland,Drobin,2020-07-26
659,Doloritas,Finker,dfinkeria@unicef.org,117.203.210.120,#1b0751,SCBLE47K88C474045,Mercedes-Benz,CL65 AMG,2009,59195.01,Poland,Wierzchosławice,2020-08-30
