id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
76,Ben,Yarwood,byarwood23@creativecommons.org,118.169.87.59,#ff6af6,WBA6B4C59DD511334,Nissan,300ZX,1991,12845.04,Poland,Borzęcin,2020-10-02
82,Carlina,Sharma,csharma29@wsj.com,22.97.208.15,#744ef6,WAUJT68EX2A966932,Nissan,Altima,2003,36066.50,Poland,Łapanów,2020-02-16
106,Chelsey,Kreuzer,ckreuzer2x@lycos.com,230.41.160.252,#f22c72,WVGEF9BP4FD544582,Nissan,Titan,2012,18572.45,Czech Republic,Čáslav,2020-04-07
122,Enos,Kimmons,ekimmons3d@netscape.com,97.146.236.243,#80f590,WDDHF5KB9EA860967,Nissan,Sentra,2002,9821.53,Germany,Erfurt,2020-06-17
133,Mauricio,Berzin,mberzin3o@wired.com,208.131.181.172,#3fa88c,WAUUL78E48A965531,Nissan,Cube,2012,53525.58,Germany,Chemnitz,2020-03-02
146,Penny,Litzmann,plitzmann41@mapy.cz,8.218.144.184,#16d952,WAUDFAFL3AA370858,Nissan,Armada,2008,89173.53,Poland,Stoszowice,2020-10-02
159,Kata,de Glanville,kdeglanville4e@jalbum.net,217.141.29.71,#68a98f,1GTC5LF9XC8889885,Nissan,Rogue,2010,45315.63,Denmark,København,2020-08-17
198,Deeann,Hruska,dhruska5h@epa.gov,3.15.40.200,#7887f1,2C3CDYBT0EH160216,Nissan,Sentra,2009,5011.93,Poland,Strachówka,2020-03-10
219,Julita,Davydochkin,jdavydochkin62@cnn.com,94.8.177.218,#cea04a,WDDHF0EB5EB909249,Nissan,Sentra,2005,80813.75,Germany,Leipzig,2020-12-29
246,Emyle,Tathacott,etathacott6t@studiopress.com,90.189.143.41,#8aa2ef,WAUKFAFL2DA494969,Nissan,Maxima,2000,49132.44,Poland,Markowa,2020-10-10
290,Yule,Woodier,ywoodier81@gizmodo.com,181.230.26.68,#e71412,WDDLJ6FB1FA422065,Nissan,Versa,2009,91895.71,Poland,Bieliny,2020-07-13
396,Mic,Musker,mmuskeraz@friendfeed.com,251.130.189.20,#1edf4b,4T1BD1FK6CU327572,Nissan,Quest,1997,14566.11,Poland,Dolsk,2020-11-27
416,Jennette,Agnew,jagnewbj@epa.gov,241.201.207.109,#10b773,1N6BF0KX3FN272455,Nissan,Pathfinder,1998,82779.06,Czech Republic,Hostavice,2020-12-16
418,Silvan,Gearing,sgearingbl@desdev.cn,142.115.61.196,#deee1b,WDDEJ7GB4AA134398,Nissan,Altima,1996,21401.25,Poland,Raciąż,2020-11-27
505,Raddy,Gerrelt,rgerrelte0@addtoany.com,109.175.0.64,#96317d,WBA1F5C56FV607357,Nissan,Xterra,2002,83887.99,Poland,Działdowo,2020-07-06
