id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date
241,Jayson,Brodie,jbrodie6o@theguardian.com,199.255.176.103,#1991a7,2FMGK5B81DB281456,Oldsmobile,Cutlass Supreme,1993,40700.58,Poland,Targanice,2020-05-27
291,Marta,Lushey,mlushey82@msn.com,249.144.185.35,#a24ff9,SCBGU3ZA6DC852294,Oldsmobile,Alero,2003,19600.82,Poland,Czarna Białostocka,2020-02-26
339,Salomi,Hatterslay,shatterslay9e@wp.com,220.101.47.247,#283f29,JN1AJ0HP3CM621686,Oldsmobile,Intrigue,2002,44180.49,Poland,Kościelec,2020-10-21
445,Mandy,Vockins,mvockinscc@accuweather.com,191.72.51.194,#2bbe8a,WAUYP54B51N511003,Oldsmobile,Silhouette,1999,13640.67,Czech Republic,Staré Město,2020-11-27
486,Zara,Laboune,zlabounedh@163.com,11.32.103.49,#b7a3f2,YV4940BZ4E1396231,Oldsmobile,Silhouette,1994,31020.67,Czech Republic,Horní Bečva,2020-06-29
577,Donn,Mayall,dmayallg0@youtu.be,184.114.66.129,#3b59b0,WVWED7AJ0BW841410,Oldsmobile,Silhouette,1992,41257.28,Germany,Berlin,2020-04-27
619,Salomo,Bolan,sbolanh6@businessweek.com,61.146.197.221,#ecb418,3MZBM1L76EM215606,Oldsmobile,Achieva,1995,28345.66,Poland,Szczawnica,2020-05-18
654,Tobye,Coleman,tcolemani5@reverbnation.com,124.250.73.38,#fed5af,YV140MEA1F1071148,Oldsmobile,Intrigue,2000,60617.56,Czech Republic,Toužim,2020-12-23
766,Ashlin,Nagle,anaglel9@facebook.com,15.150.23.198,#d03493,JH4DC53053C259280,Oldsmobile,Bravada,1997,99984.84,Poland,Osielsko,2020-02-29
787,Willamina,Heintze,wheintzelu@newsvine.com,53.240.147.7,#21d18c,WBASP4C56AC472252,Oldsmobile,Achieva,1995,27473.11,Poland,Śniadowo,2020-11-08
798,Karlis,Pryor,kpryorm5@seesaa.net,144.142.151.229,#0f8702,1FMJK1H59BE663960,Oldsmobile,Cutlass Supreme,1997,91265.88,Poland,Sokółka,2020-07-14
934,Golda,Studdal,gstuddalpx@epa.gov,109.155.157.193,#9ccbb2,3C4PDDGGXFT647756,Oldsmobile,Intrigue,1998,18210.02,Poland,Lipiany,2020-03-26
